Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,176.44,176.89,170.62,171.75,1057309.0,0.0,1.0,176.44,176.89,170.62,171.75,1057309.0
2018-03-26,173.84,176.02,172.29,175.57,1103956.0,0.0,1.0,173.84,176.02,172.29,175.57,1103956.0
2018-03-23,174.22,176.98,172.2,172.47,1441682.0,0.0,1.0,174.22,176.98,172.2,172.47,1441682.0
2018-03-22,172.99,174.74,171.72,172.34,947409.0,0.0,1.0,172.99,174.74,171.72,172.34,947409.0
2018-03-21,170.7,176.58,170.42,175.37,1807663.0,0.0,1.0,170.7,176.58,170.42,175.37,1807663.0
2018-03-20,167.68,170.42,167.09,169.86,1194467.0,0.0,1.0,167.68,170.42,167.09,169.86,1194467.0
2018-03-19,168.65,168.69,165.28,166.24,840292.0,0.0,1.0,168.65,168.69,165.28,166.24,840292.0
2018-03-16,166.76,170.49,166.52,169.34,1271144.0,0.0,1.0,166.76,170.49,166.52,169.34,1271144.0
2018-03-15,170.4,171.17,165.34,166.57,901019.0,0.0,1.0,170.4,171.17,165.34,166.57,901019.0
2018-03-14,169.84,170.36,168.53,169.04,866511.0,0.0,1.0,169.84,170.36,168.53,169.04,866511.0
2018-03-13,172.58,172.58,168.71,169.56,972477.0,0.0,1.0,172.58,172.58,168.71,169.56,972477.0
2018-03-12,171.58,172.5,169.76,171.19,892012.0,0.0,1.0,171.58,172.5,169.76,171.19,892012.0
2018-03-09,169.65,171.66,169.33,171.53,986239.0,0.0,1.0,169.65,171.66,169.33,171.53,986239.0
2018-03-08,170.87,171.85,167.31,167.68,994514.0,0.0,1.0,170.87,171.85,167.31,167.68,994514.0
2018-03-07,168.4,171.5,167.08,170.17,1911289.0,0.0,1.0,168.4,171.5,167.08,170.17,1911289.0
2018-03-06,172.73,172.795,169.55,169.96,1503515.0,0.0,1.0,172.73,172.795,169.55,169.96,1503515.0
2018-03-05,168.35,172.34,167.8,171.69,1527647.0,0.0,1.0,168.35,172.34,167.8,171.69,1527647.0
2018-03-02,167.63,169.73,164.6,168.89,1821260.0,0.0,1.0,167.63,169.73,164.6,168.89,1821260.0
2018-03-01,170.86,172.41,166.59,169.16,1943111.0,0.0,1.0,170.86,172.41,166.59,169.16,1943111.0
2018-02-28,175.52,177.375,170.21,170.23,2104738.0,0.0,1.0,175.52,177.375,170.21,170.23,2104738.0
2018-02-27,179.33,180.07,174.4801,174.67,1672748.0,0.0,1.0,179.33,180.07,174.4801,174.67,1672748.0
2018-02-26,181.06,181.38,178.49,179.69,1140110.0,0.0,1.0,181.06,181.38,178.49,179.69,1140110.0
2018-02-23,178.05,180.02,177.38,180.0,1372899.0,0.0,1.0,178.05,180.02,177.38,180.0,1372899.0
2018-02-22,175.96,179.76,175.0,177.41,1086522.0,0.0,1.0,175.96,179.76,175.0,177.41,1086522.0
2018-02-21,178.03,178.88,174.7,174.73,1202289.0,0.0,1.0,178.03,178.88,174.7,174.73,1202289.0
2018-02-20,179.5,180.6497,177.49,178.25,973218.0,0.0,1.0,179.5,180.6497,177.49,178.25,973218.0
2018-02-16,179.11,180.54,178.075,178.79,1124753.0,0.0,1.0,179.11,180.54,178.075,178.79,1124753.0
2018-02-15,179.45,179.91,174.51,179.59,1424672.0,0.0,1.0,179.45,179.91,174.51,179.59,1424672.0
2018-02-14,170.7,180.45,169.96,179.5,1611617.0,0.0,1.0,170.7,180.45,169.96,179.5,1611617.0
2018-02-13,170.51,172.72,169.46,172.17,1190227.0,0.0,1.0,170.51,172.72,169.46,172.17,1190227.0
2018-02-12,168.02,173.65,167.36,171.03,1910500.0,0.0,1.0,168.02,173.65,167.36,171.03,1910500.0
2018-02-09,170.72,171.65,159.43,165.05,2812272.0,0.0,1.0,170.72,171.65,159.43,165.05,2812272.0
2018-02-08,176.97,178.96,169.0,169.16,2837825.0,0.0,1.0,176.97,178.96,169.0,169.16,2837825.0
2018-02-07,181.78,184.67,175.65,176.2,3504992.0,0.0,1.0,181.78,184.67,175.65,176.2,3504992.0
2018-02-06,168.44,174.5,166.21,173.95,2627860.0,0.0,1.0,168.44,174.5,166.21,173.95,2627860.0
2018-02-05,177.0,180.72,170.33,171.82,2353762.0,0.0,1.0,177.0,180.72,170.33,171.82,2353762.0
2018-02-02,184.29,184.71,177.51,178.74,2242148.0,0.0,1.0,184.29,184.71,177.51,178.74,2242148.0
2018-02-01,183.3,186.65,181.57,186.65,1348078.0,0.0,1.0,183.3,186.65,181.57,186.65,1348078.0
2018-01-31,183.04,185.18,181.97,182.91,2095403.0,0.0,1.0,183.04,185.18,181.97,182.91,2095403.0
2018-01-30,185.01,185.69,181.65,182.66,2073491.0,0.0,1.0,185.01,185.69,181.65,182.66,2073491.0
2018-01-29,186.95,189.5494,186.09,187.0,1084198.0,0.0,1.0,186.95,189.5494,186.09,187.0,1084198.0
2018-01-26,188.31,188.87,187.06,188.36,1218598.0,0.0,1.0,188.31,188.87,187.06,188.36,1218598.0
2018-01-25,189.0,189.95,186.6716,188.5,1578385.0,0.0,1.0,189.0,189.95,186.6716,188.5,1578385.0
2018-01-24,184.88,188.89,184.66,188.33,1844111.0,0.0,1.0,184.88,188.89,184.66,188.33,1844111.0
2018-01-23,186.79,187.27,184.41,186.01,1516891.0,0.0,1.0,186.79,187.27,184.41,186.01,1516891.0
2018-01-22,184.42,186.51,183.425,186.3,1625887.0,0.0,1.0,184.42,186.51,183.425,186.3,1625887.0
2018-01-19,183.86,184.34,182.2884,183.17,1390111.0,0.0,1.0,183.86,184.34,182.2884,183.17,1390111.0
2018-01-18,184.5,186.755,183.2501,184.38,1108030.0,0.0,1.0,184.5,186.755,183.2501,184.38,1108030.0
2018-01-17,182.62,185.63,180.97,184.32,1441878.0,0.0,1.0,182.62,185.63,180.97,184.32,1441878.0
2018-01-16,186.5,186.79,182.45,182.51,1531432.0,0.0,1.0,186.5,186.79,182.45,182.51,1531432.0
2018-01-12,184.02,187.18,183.06,186.15,1352720.0,0.0,1.0,184.02,187.18,183.06,186.15,1352720.0
2018-01-11,179.58,187.54,178.67,184.17,2629245.0,0.0,1.0,179.58,187.54,178.67,184.17,2629245.0
2018-01-10,178.46,180.36,177.76,178.7,1412941.0,0.0,1.0,178.46,180.36,177.76,178.7,1412941.0
2018-01-09,178.88,179.85,177.75,177.95,1322653.0,0.0,1.0,178.88,179.85,177.75,177.95,1322653.0
2018-01-08,176.13,179.28,176.13,178.53,1489258.0,0.0,1.0,176.13,179.28,176.13,178.53,1489258.0
2018-01-05,176.39,176.88,174.89,176.51,1140067.0,0.0,1.0,176.39,176.88,174.89,176.51,1140067.0
2018-01-04,176.86,177.91,174.91,177.27,1540631.0,0.0,1.0,176.86,177.91,174.91,177.27,1540631.0
2018-01-03,174.36,178.195,173.15,176.34,3183842.0,0.0,1.0,174.36,178.195,173.15,176.34,3183842.0
2018-01-02,174.3,175.45,172.29,172.92,1764673.0,0.0,1.0,174.3,175.45,172.29,172.92,1764673.0
2017-12-29,173.46,174.11,171.774,172.85,1581802.0,0.0,1.0,173.46,174.11,171.774,172.85,1581802.0
2017-12-28,172.5,173.185,171.17,172.58,641597.0,0.0,1.0,172.5,173.185,171.17,172.58,641597.0
