Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.61,6.83,6.6,6.64,28210.0,0.0,1.0,6.61,6.83,6.6,6.64,28210.0
2018-03-26,6.67,6.77,6.52,6.64,13146.0,0.0,1.0,6.67,6.77,6.52,6.64,13146.0
2018-03-23,6.562,6.645,6.3,6.51,34023.0,0.0,1.0,6.562,6.645,6.3,6.51,34023.0
2018-03-22,6.52,6.87,6.41,6.45,42387.0,0.0,1.0,6.52,6.87,6.41,6.45,42387.0
2018-03-21,6.47,6.9,6.47,6.62,116213.0,0.0,1.0,6.47,6.9,6.47,6.62,116213.0
2018-03-20,6.52,6.63,6.3674,6.48,56977.0,0.0,1.0,6.52,6.63,6.3674,6.48,56977.0
2018-03-19,6.55,6.55,6.23,6.46,69955.0,0.0,1.0,6.55,6.55,6.23,6.46,69955.0
2018-03-16,6.45,6.72,6.22,6.56,124186.0,0.0,1.0,6.45,6.72,6.22,6.56,124186.0
2018-03-15,6.5576,6.72,6.39,6.45,47629.0,0.0,1.0,6.5576,6.72,6.39,6.45,47629.0
2018-03-14,6.69,6.69,6.42,6.51,37729.0,0.0,1.0,6.69,6.69,6.42,6.51,37729.0
2018-03-13,6.56,6.73,6.49,6.6,32583.0,0.0,1.0,6.56,6.73,6.49,6.6,32583.0
2018-03-12,6.43,6.62,6.07,6.59,94922.0,0.0,1.0,6.43,6.62,6.07,6.59,94922.0
2018-03-09,6.59,6.63,6.3896,6.45,50128.0,0.0,1.0,6.59,6.63,6.3896,6.45,50128.0
2018-03-08,6.65,6.77,6.6131,6.66,48289.0,0.0,1.0,6.65,6.77,6.6131,6.66,48289.0
2018-03-07,6.23,6.71,6.23,6.65,191613.0,0.0,1.0,6.23,6.71,6.23,6.65,191613.0
2018-03-06,6.3,6.5,6.075,6.27,91817.0,0.0,1.0,6.3,6.5,6.075,6.27,91817.0
2018-03-05,5.94,6.32,5.94,6.25,91516.0,0.0,1.0,5.94,6.32,5.94,6.25,91516.0
2018-03-02,6.1,6.13,5.72,5.96,36539.0,0.0,1.0,6.1,6.13,5.72,5.96,36539.0
2018-03-01,5.62,6.14,5.62,6.1,105325.0,0.0,1.0,5.62,6.14,5.62,6.1,105325.0
2018-02-28,5.66,5.69,5.4,5.51,137151.0,0.0,1.0,5.66,5.69,5.4,5.51,137151.0
2018-02-27,5.89,6.0082,5.401,5.63,109040.0,0.0,1.0,5.89,6.0082,5.401,5.63,109040.0
2018-02-26,5.6,5.94,5.6,5.92,23231.0,0.0,1.0,5.6,5.94,5.6,5.92,23231.0
2018-02-23,5.76,5.7848,5.58,5.59,24951.0,0.0,1.0,5.76,5.7848,5.58,5.59,24951.0
2018-02-22,5.35,5.785,5.35,5.76,10512.0,0.0,1.0,5.35,5.785,5.35,5.76,10512.0
2018-02-21,5.51,5.8646,5.36,5.36,60751.0,0.0,1.0,5.51,5.8646,5.36,5.36,60751.0
2018-02-20,5.35,6.0208,5.35,5.49,24285.0,0.0,1.0,5.35,6.0208,5.35,5.49,24285.0
2018-02-16,5.66,5.795,5.25,5.36,223201.0,0.0,1.0,5.66,5.795,5.25,5.36,223201.0
2018-02-15,5.91,5.91,5.6,5.68,40566.0,0.0,1.0,5.91,5.91,5.6,5.68,40566.0
2018-02-14,5.76,6.39,5.76,5.88,35470.0,0.0,1.0,5.76,6.39,5.76,5.88,35470.0
2018-02-13,5.84,6.135,5.78,5.85,27306.0,0.0,1.0,5.84,6.135,5.78,5.85,27306.0
2018-02-12,6.09,6.25,5.92,6.08,31971.0,0.0,1.0,6.09,6.25,5.92,6.08,31971.0
2018-02-09,6.04,6.18,5.71,6.04,94139.0,0.0,1.0,6.04,6.18,5.71,6.04,94139.0
