Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1.25,1.28,1.18,1.18,138298.0,0.0,1.0,1.25,1.28,1.18,1.18,138298.0
2018-03-26,1.33,1.3701,1.18,1.25,334047.0,0.0,1.0,1.33,1.3701,1.18,1.25,334047.0
2018-03-23,1.38,1.38,1.3,1.32,304651.0,0.0,1.0,1.38,1.38,1.3,1.32,304651.0
2018-03-22,1.36,1.4499,1.3,1.3787,761284.0,0.0,1.0,1.36,1.4499,1.3,1.3787,761284.0
2018-03-21,1.39,1.44,1.32,1.37,404917.0,0.0,1.0,1.39,1.44,1.32,1.37,404917.0
2018-03-20,1.33,1.4,1.31,1.36,273919.0,0.0,1.0,1.33,1.4,1.31,1.36,273919.0
2018-03-19,1.37,1.37,1.3,1.3,88599.0,0.0,1.0,1.37,1.37,1.3,1.3,88599.0
2018-03-16,1.29,1.369,1.28,1.36,102082.0,0.0,1.0,1.29,1.369,1.28,1.36,102082.0
2018-03-15,1.33,1.3799,1.25,1.27,375147.0,0.0,1.0,1.33,1.3799,1.25,1.27,375147.0
2018-03-14,1.5,1.5,1.35,1.36,213331.0,0.0,1.0,1.5,1.5,1.35,1.36,213331.0
2018-03-13,1.55,1.55,1.41,1.49,248363.0,0.0,1.0,1.55,1.55,1.41,1.49,248363.0
2018-03-12,1.55,1.55,1.47,1.54,212442.0,0.0,1.0,1.55,1.55,1.47,1.54,212442.0
2018-03-09,1.63,1.63,1.5102,1.54,332097.0,0.0,1.0,1.63,1.63,1.5102,1.54,332097.0
2018-03-08,1.59,1.65,1.53,1.63,345735.0,0.0,1.0,1.59,1.65,1.53,1.63,345735.0
2018-03-07,1.49,1.63,1.48,1.58,615758.0,0.0,1.0,1.49,1.63,1.48,1.58,615758.0
2018-03-06,1.5,1.51,1.46,1.51,86467.0,0.0,1.0,1.5,1.51,1.46,1.51,86467.0
2018-03-05,1.5,1.54,1.46,1.48,95886.0,0.0,1.0,1.5,1.54,1.46,1.48,95886.0
2018-03-02,1.52,1.53,1.43,1.51,158211.0,0.0,1.0,1.52,1.53,1.43,1.51,158211.0
2018-03-01,1.4,1.53,1.4,1.5,335595.0,0.0,1.0,1.4,1.53,1.4,1.5,335595.0
2018-02-28,1.57,1.61,1.4,1.42,728796.0,0.0,1.0,1.57,1.61,1.4,1.42,728796.0
2018-02-27,1.73,1.84,1.52,1.58,1542641.0,0.0,1.0,1.73,1.84,1.52,1.58,1542641.0
2018-02-26,1.92,2.08,1.68,1.94,2350673.0,0.0,1.0,1.92,2.08,1.68,1.94,2350673.0
2018-02-23,1.7,1.94,1.62,1.8795,2444387.0,0.0,1.0,1.7,1.94,1.62,1.8795,2444387.0
2018-02-22,1.5,1.5597,1.5,1.52,183860.0,0.0,1.0,1.5,1.5597,1.5,1.52,183860.0
2018-02-21,1.51,1.5798,1.46,1.5204,333343.0,0.0,1.0,1.51,1.5798,1.46,1.5204,333343.0
